Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Barium sulfide,BaS · 021109-95-5 · saturated,1,1,1,2,2,1,2,1,x,1,1,1,x,x,1,1,2
Battery acid,H SO · 007664-93-9 · 38 %,1,1,4,1,4,1,4,1,1,1,1,3,x,1,1,1,1
Beef tallow,— · 061789-97-7,x,x,1,1,1,x,1,1,1,x,x,x,x,x,1,1,1
Beef tallow emulsion,— · — · sulfonated,1,x,2,2,x,x,x,1,x,x,1,x,1,x,1,1,1
Beer,— · —,1,1,1,1,1,1,1,1,1,x,1,1,x,1,1,1,1
Beeswax,— · 008012-89-3,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Benzaldehyde,C H O · 000100-52-7,1,3,3,4,4,1,1,1,4,3,4,4,1,1,1,1,1
Benzene,C H · 000071-43-2,3,3,2,4,4,2,1,3,4,4,4,x,x,1,1,1,1
Benzenesulfonic acid,C H SO · 000098-11-3 · saturated,1,1,4,3,4,x,4,2,x,1,2,x,x,x,1,1,1
Benzoic acid,C H O · 000065-85-0 · saturated,1,1,3,4,1,1,2,1,2,3,1,1,1,1,1,1,1
Benzoic acid,C H O · 000065-85-0 · aqueous,1,1,3,4,1,x,2,1,x,x,x,x,x,1,1,1,1
Benzoyl chloride,C H ClO · 000098-88-4 · 100 %,x,3,4,4,x,4,3,3,x,x,x,x,x,x,x,1,1
Benzyl acetate,C H O · 000140-11-4,1,1,2,3,x,1,2,1,4,4,4,x,4,1,1,1,3
Benzyl alcohol,C H O · 000100-51-6,3,4,4,4,x,4,1,4,4,4,2,x,4,1,1,1,1
Benzyl benzoate,C 14 H 12 O 2 · 000120-51-4,x,x,2,3,x,3,2,3,x,x,x,x,x,x,x,1,2
Benzyl chloride,C 7 H 7 Cl · 000100-44-7 · 100 %,x,4,1,4,x,4,2,4,4,4,4,4,x,x,1,1,3
Benzyl ether,C 14 H 14 O · 000103-50-4,x,x,2,3,x,x,1,3,x,x,x,x,x,x,1,1,2
Bismuth chloride,BiCl 3 · 007787-60-2,1,1,3,2,2,x,4,1,x,x,x,x,1,x,1,1,2
"Bismuth nitrate, basic",Bi 5 O(HO) 9 (NO 3 ) 4 · 001304-85-4,1,1,3,2,2,x,2,1,x,x,x,x,1,x,1,1,2
Bisulfite solution,NaHSO 3 · ??,1,1,3,3,x,x,4,1,x,x,x,x,x,x,1,1,1
"Bisulfite solution, containing S0 2",NaHSO 3 · ?? · saturated,1,1,3,3,x,x,4,1,x,x,1,x,x,x,1,1,1
Bitter almond oil,C 7 H 6 O · 090320-35-7,1,3,3,4,4,1,1,1,4,3,4,4,1,1,1,1,1
Bitumen,— · 008052-42-4,x,x,1,2,2,x,2,1,x,x,x,x,x,x,1,1,2
Bone oil,— · 008001-85-2,x,x,1,2,1,x,2,1,1,x,x,x,1,x,1,1,1
Boric acid,H 3 BO 3 · 010043-35-3 · 10 %,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Boric acid,H 3 BO 3 · 010043-35-3 · aqueous,1,1,3,1,1,x,2,1,x,x,x,x,x,1,1,1,1
Brake fluid,— · —,1,1,1,4,x,1,3,1,3,x,1,3,4,x,1,1,3
Bromic acid,HBrO 3 · 007789-31-3 · concentrated,x,x,4,4,4,x,4,3,x,x,x,x,x,x,x,1,2
Bromine,Br 2 · 007726-95-6,4,4,4,4,4,4,4,4,4,4,2,4,4,1,1,1,1
Bromine pentafluoride,BrF 5 · 007789-30-2,x,x,4,4,4,4,4,3,x,x,x,x,x,x,x,2,3
Bromine steams,Br 2 · 007726-95-6,4,4,4,3,4,4,4,4,x,x,x,x,x,x,1,1,1
Bromine trifluoride,BrF 3 · 007787-71-5,x,x,4,4,4,4,4,3,x,x,x,x,x,x,x,2,3
Bromine water,Br 2 +H 2 O · 007726-95-6 · saturated,4,4,4,4,4,4,4,4,4,x,3,x,x,x,x,1,1
Bromobenzene,C 6 H 5 Br · 000108-86-1,3,4,1,4,2,4,1,4,4,4,4,x,x,2,1,1,1
Bromochloromethane,CH 2 BrCl · 000074-97-5 · 100 %,4,4,4,4,1,4,3,4,4,x,4,4,4,x,1,1,3
Bromotrifluoromethane,CBrF 3 · 000075-63-8,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
"Butadiene, 1,3-",C 4 H 6 · 000106-99-0,3,4,1,4,1,4,2,4,4,4,3,x,x,1,1,1,1
Butane,4 10 · 000106-97-8 · techn. pure,1,1,1,1,1,1,2,1,4,1,1,3,1,x,1,1,1
Butanetriol,C H O · — · 100 %,4,1,1,2,2,x,1,1,x,x,3,4,x,x,1,1,1
Butene,C H · — · techn. pure,4,x,1,1,1,x,1,4,x,x,1,x,x,x,1,1,1
"Butyl acetate, normal",C H O · 000123-86-4 · 100 %,2,2,1,4,3,3,2,3,4,4,4,4,4,1,1,1,1
Butyl acrylate,C H O · 000141-32-2 · 100 %,1,2,2,4,1,2,2,3,4,4,4,4,4,1,1,1,1
"Butyl alcohol, normal",C H O · 000071-36-3 · techn. pure,1,1,1,2,1,1,1,1,1,2,2,4,1,1,1,1,1
"Butyl alcohol, sec-",C H O · 000078-92-2,1,1,1,2,1,1,1,1,2,2,2,x,x,1,1,1,1
"Butyl alcohol, tert-",C H O · 000075-65-0,1,1,1,2,1,1,1,1,1,2,1,x,x,1,1,1,1
"Butyl ether, (Di-) n-",C H O · 000142-96-1 · techn. pure,3,1,2,3,1,4,1,3,x,3,4,x,x,x,1,1,1
Butyl stearate,C H O · 000123-95-5 · 100 %,x,x,1,3,1,x,2,2,x,x,1,1,x,x,1,1,1
Butylamine,C H N · 000109-73-9,x,x,x,3,x,x,3,2,x,x,x,x,x,x,1,1,2
Butylene glycol,C H O · — · techn. pure,1,1,1,1,1,x,1,1,x,x,1,x,x,x,1,1,1
Butylphenol,C H O · — · 100 %,x,1,3,3,x,3,4,1,x,x,3,4,x,x,1,1,1
"Butylphenol, p-tert",C H NO · 000098-54-4 · techn. pure,3,x,3,3,x,3,4,1,x,x,3,x,x,x,1,1,1
Butyraldehyde,C H O · 000123-72-8,x,x,3,3,x,4,2,2,x,x,x,x,x,x,1,2,3
Butyric acid,C H O · 000107-92-6,3,4,3,4,x,4,4,4,4,2,2,4,4,1,1,1,1
Cadmium bromide,CdBr · 007789-42-6,1,1,3,2,2,x,3,1,1,x,x,x,1,x,1,1,1
Calcium bicarbonate,Ca(HCO ) · — · saturated,1,1,1,1,1,x,1,1,x,x,1,1,x,1,1,1,1
Calcium bisulfite,Ca(HSO ) · 013780-03-5 · saturated,1,1,3,2,x,x,4,1,x,x,1,x,x,x,1,1,1
Calcium bisulfite,Ca(HSO ) · 013780-03-5 · aqueous,1,1,3,2,x,x,4,1,x,x,x,x,x,x,1,1,1
Calcium bromide,CaBr · 007789-41-5,1,1,2,1,2,x,3,1,1,x,x,x,1,1,1,1,1
Calcium carbide,CaC 2 · 000075-20-7,1,1,2,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Calcium carbonate,CaCO 3 · 000471-34-1 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calcium chlorate,Ca(ClO 3 ) 2 · 010137-74-3 · saturated,x,x,3,2,x,1,3,1,x,x,x,x,x,x,1,1,1
Calcium chloride,CaCl 2 · 010043-52-4 · alkoholic,1,x,4,2,x,1,3,1,x,x,x,4,x,x,1,1,1
Calcium chloride,CaCl 2 · 010043-52-4 · aqueous,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
Calcium hydroxyde,CaH 2 O 2 · 001305-62-0 · aqueous,1,1,1,4,1,1,1,1,1,x,x,x,x,1,1,1,1
Calcium hydroxyde,CaH 2 O 2 · 001305-62-0 · concentrated,1,1,1,4,1,1,1,1,2,2,1,1,x,1,1,1,1
Calcium hypochlorite,Ca(OCl) 2 · 007778-54-3 · saturated,1,1,1,3,3,1,1,1,2,1,2,3,1,1,1,1,1
Calcium hypochlorite,Ca(OCl) 2 · 007778-54-3 · aqueous,x,x,4,1,3,x,1,1,1,x,x,x,x,x,1,1,1
Calcium nitrate,Ca(NO 3 ) 2 · 010124-37-5 · 50 %,1,1,2,1,2,1,3,1,1,x,1,1,x,x,1,1,1
Calcium nitrate,Ca(NO 3 ) 2 · 010124-37-5 · aqueous,1,1,2,1,2,x,3,1,x,x,x,x,x,x,1,1,1
Calcium oxide,CaO · 001305-78-8 · powder,1,1,2,2,2,x,x,1,1,x,1,1,1,1,1,1,1
Calcium phosphate,Ca 3 (PO 4 ) 2 · 007758-87-4 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calcium phosphate,Ca 3 (PO 4 ) 2 · 007758-87-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calcium sulfate,CaSO 4 · 007778-18-9 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,x,1,1,1,1
Calcium sulfide,CaS · 020548-54-3 · aqueous,x,x,2,2,x,x,1,1,x,x,x,x,x,x,1,1,1
Calcium sulfide,CaS · 020548-54-3,x,3,2,2,x,x,1,1,x,x,1,x,x,x,1,1,1
Calciumacetat,C 4 H 6 CaO 4 · 000062-54-4 · aqueous,1,1,2,1,2,x,1,1,x,x,x,x,x,1,1,1,1
Camphor,C 10 H 16 O · 000464-48-2 / -49-2,3,3,2,3,x,x,2,1,1,x,4,4,1,x,1,1,3
Camphor oil,— · 008008-51-3,4,4,2,3,x,x,2,4,x,x,4,4,x,x,1,2,3
Caprylic alcohol,C 8 H 18 O · 000111-87-5,x,x,2,2,1,x,2,2,x,x,x,x,1,x,1,1,1
Caraway,— · — · ground,x,x,2,2,1,x,1,2,4,x,x,x,1,x,1,1,1
Carbazole,C 12 H 9 N · 000086-74-8,1,1,2,4,x,1,1,1,1,4,4,x,4,1,1,2,2
Carbolineum,— · 008001-58-9 · aqueous,1,1,1,3,1,x,1,1,x,x,1,x,x,x,1,1,2
Carbon dioxide,2 · 000124-38-9 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,x,x,1,1,1
"Carbon dioxide, damp",2 · 000124-38-9 · techn. pure,1,1,1,1,1,x,1,1,x,x,1,x,1,x,1,1,1
"Carbon dioxide, dry",CO · 000124-38-9 · techn. pure,1,1,1,1,1,x,1,1,x,x,1,x,1,x,1,1,1
Carbon disulfide,CS · 000075-15-0,4,4,3,4,x,4,2,4,4,4,4,4,4,1,1,1,1
Carbon tetrabromide,CBr · 000558-13-4,x,x,3,4,x,x,3,3,4,x,x,x,x,x,1,1,2
