Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Potassium carbonate,K CO · 000584-08-7 · aqueous,1,1,1,2,2,x,1,1,x,x,x,x,x,x,1,1,1
Potassium chlorate,KClO 3 · 003811-04-9 · saturated,1,x,1,2,x,x,2,1,1,x,1,x,x,x,1,1,1
Potassium chlorate,KClO 3 · 003811-04-9 · aqueous,1,x,1,2,x,x,2,1,1,x,1,x,x,x,1,1,1
Potassium chloride,KCl · 007447-40-7 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Potassium chromate,K CrO · 007789-00-6 · saturated,1,1,2,2,x,1,2,1,1,x,1,1,1,x,1,1,1
Potassium chromate,K 2 CrO 4 · 007789-00-6 · aqueous,x,x,2,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Potassium cyanide,KCN · 000151-50-8 · saturated,1,1,1,4,x,x,3,1,x,x,1,4,x,x,1,1,1
Potassium cyanide,KCN · 000151-50-8 · aqueous,1,1,1,4,x,x,3,1,x,x,1,1,x,x,1,1,1
Potassium dichromate,K 2 Cr 2 O 7 · 007778-50-9 · saturated,1,1,4,3,3,1,3,1,1,x,1,1,1,x,1,1,1
Potassium dichromate,K 2 Cr 2 O 7 · 007778-50-9 · aqueous,x,x,3,1,3,x,3,1,x,x,x,x,x,x,1,1,1
Potassium ferricyanide,C FeK N · 013746-66-2 · each,1,1,1,1,1,x,2,1,1,x,1,1,x,1,1,1,1
Potassium ferrocyanide,C FeK N x 3H O · 014459-95-1 · saturated,1,1,1,2,1,x,2,1,x,x,1,1,x,1,1,1,1
Potassium ferrocyanide,C 6 FeK 4 N 6 x 3H 2 O · 014459-95-1 · diluted,1,1,1,1,1,x,2,1,x,x,1,1,x,1,1,1,1
Potassium fluoride,KF · 007789-23-3,1,1,1,2,2,x,1,1,x,x,x,x,1,1,1,1,1
Potassium hydrogen carbonate,CHKO · 000298-14-6 · saturated,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Potassium hydroxide,KHO · 001310-58-3 · 10 %,1,1,1,4,4,x,1,1,x,x,x,x,1,1,1,1,1
Potassium hydroxide,KHO · 001310-58-3 · 30 %,1,1,1,4,4,1,3,1,1,1,1,1,x,x,x,1,2
Potassium hydroxide,KHO · 001310-58-3 · 50 %,1,1,1,4,4,1,3,1,2,1,1,1,1,1,1,1,3
Potassium hydroxide,KHO · 001310-58-3 · concentrated,1,1,1,4,4,1,3,1,2,1,1,1,1,1,1,1,3
Potassium hydroxide,KHO · 001310-58-3 · 1 %,1,1,1,3,4,1,1,1,2,1,1,x,x,1,1,1,1
Potassium hypochlorite,KClO · 007778-66-7 · diluted,1,1,3,3,3,1,4,1,3,1,1,1,x,x,1,1,1
Potassium iodate,KJO · 007758-05-6,x,x,2,2,2,x,2,1,x,x,x,x,1,x,1,1,1
Potassium iodide,KJ · 007681-11-0 · saturated,1,1,1,2,2,x,1,1,1,1,1,1,1,1,1,1,1
Potassium iodide,KJ · 007681-11-0 · aqueous,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Potassium nitrate,KNO 3 · 007757-79-1 · 50 %,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Potassium nitrate,KNO 3 · 007757-79-1 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Potassium perchlorate,KClO · 007778-74-7 · saturated,1,1,1,1,1,1,1,1,x,x,1,3,x,1,1,1,1
Potassium perchlorate,KClO · 007778-74-7 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Potassium permanganate,KMnO 4 · 007722-64-7 · aqueous,x,x,4,1,2,x,1,1,x,x,x,x,x,x,1,1,1
Potassium permanganate,KMnO 4 · 007722-64-7,1,1,4,1,2,1,1,1,1,x,1,x,1,1,1,1,1
Potassium persulfate,K (SO ) · 007727-21-1 · each,1,1,4,1,x,1,3,1,1,x,1,1,1,x,1,1,1
Potassium sulfate,K 2 SO 4 · 007778-80-5 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Potassium sulfide,K 2 S · 001312-73-8 · diluted,1,1,1,2,2,1,2,1,1,x,1,1,1,x,1,1,1
Potassium sulfite,K SO · 010117-38-1 · saturated,1,1,1,2,2,x,1,1,x,x,x,x,x,x,1,1,1
Potassium thiosulfate,K S O · 010233-00-8 · saturated,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Precipitated silica,SiO 2 · 001343-98-2 · each,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prontosil,— · —,x,x,2,3,x,x,2,2,x,x,x,x,1,x,1,1,2
Propane,C H · 000074-98-6 · liquid,1,1,1,1,1,x,1,1,x,1,1,3,1,x,1,1,1
Propane,C 3 H 8 · 000074-98-6 · gaseous,3,4,1,3,1,4,1,2,4,3,1,x,x,1,1,1,1
Propargyl alcohol,C H O · 000107-19-7 · 7 %,1,1,3,1,x,x,2,1,x,x,1,1,x,x,1,1,1
Propionic acid,C H O · 000079-09-4 · 50 %,1,1,3,4,x,x,4,1,4,4,1,3,x,x,1,1,1
Propionic acid,C 3 H 6 O 2 · 000079-09-4,1,1,3,4,x,x,4,1,4,4,4,4,x,x,1,1,1
"Propyl acetate, normal",C 5 H 10 O 2 · 000109-60-4,x,x,1,4,x,4,1,2,x,x,x,x,x,x,1,1,2
Propyl alcohol,C H O · 000071-23-8,1,1,1,1,1,x,1,1,3,x,2,3,1,x,1,1,1
Propyl nitrate,C 3 H 7 NO 3 · 000627-13-4,x,x,3,3,x,x,3,2,x,x,x,x,x,x,1,1,3
"Propylamine, n-",C H N · 000107-10-8,x,x,x,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Propylene,C H · 000115-07-1,1,1,1,3,1,x,1,1,4,x,3,4,x,x,1,1,1
Propylene glycol,C 3 H 8 O 2 · 000057-55-6,1,1,4,2,2,1,1,1,1,2,3,x,1,1,1,1,1
Propylene oxid,C 3 H 6 O · 000075-56-9,1,1,3,2,x,1,2,1,4,2,3,x,4,3,1,1,1
"Pydraul C (312, 540)",— · —,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x
"Pydraul E (29, 30, 50, 65, 90, 11)",— · —,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x
Pyridine,C 5 H 5 N · 000110-86-1,1,x,1,4,x,x,1,3,4,4,4,4,4,1,2,1,1
Pyrogallic acid,C H O · 000087-66-1,x,x,1,3,x,x,3,1,3,x,x,x,1,x,1,1,1
Pyroligneous oil,— · 008001-20-5,x,x,1,2,1,x,1,2,x,x,x,x,x,x,1,1,1
Pyrrole,C 4 H 5 N · 000109-97-7,x,x,3,4,x,x,2,3,x,x,x,x,x,x,1,1,3
Quinine,20 24 2 2 · 000130-95-0,1,1,2,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Ramasit,— · —,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,1,1
Resorcinol,C 6 H 6 O 2 · 000108-46-3 · 5 %,1,1,4,2,x,1,3,1,2,4,2,x,3,1,1,1,3
Resorcinol,C H O · 000108-46-3 · saturated,1,1,4,2,x,1,3,1,2,4,3,x,x,1,1,1,3
Roaster off-gas,— · — · each,x,x,2,x,x,x,3,1,x,x,x,x,x,x,1,1,2
Rose oil,— · 008007-01-0,x,x,2,3,x,x,2,2,4,x,x,x,3,x,1,1,2
Rum ether,— · 008030-89-5,x,x,2,3,x,x,2,2,4,x,x,x,1,x,1,1,3
Sagrotan,— · — · liquid,1,1,x,3,x,x,3,1,3,x,x,x,x,x,1,1,2
Salicyl acid,C 7 H 6 O 3 · 000069-72-7 · saturated,1,1,1,1,1,1,4,1,1,1,2,x,1,1,1,1,1
Salicyl acid,C 7 H 6 O 3 · 000069-72-7 · powder,1,1,1,1,1,1,3,1,1,1,2,x,x,1,1,1,1
Salicylaldehyde,C H O · 000090-02-8,1,1,3,2,x,1,3,1,4,3,3,x,x,1,1,1,3
Salt spring,NaCl · 007647-14-5 · saturated,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
"Salt water, sea water",— · —,1,1,1,1,1,x,1,1,1,x,1,1,1,1,1,1,1
Saturated steam condensate,— · —,x,x,2,2,x,x,2,1,x,x,x,x,x,x,1,1,2
Sea water,— · —,1,1,1,1,1,x,1,1,1,x,1,1,1,1,1,1,1
Silicofluoric acid,H 2 SiF 6 · 016961-83-4 · 32 %,1,1,4,1,4,x,4,1,x,x,1,x,x,1,1,1,1
Silicone greases,— · —,x,x,1,1,1,x,1,1,x,x,x,x,x,x,1,1,1
Silicone oil,— · —,1,1,1,1,1,1,1,1,3,1,1,x,1,x,1,1,1
Silver acetate,C 2 H 3 AgO 2 · 000563-63-3,1,1,2,1,2,1,2,1,2,1,2,x,x,1,1,1,1
Silver cyanide,CAgN · 000506-64-9,1,1,2,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Silver nitrate,AgNO · 007761-88-8 · aqueous,1,x,1,1,2,x,1,1,x,x,x,x,x,x,1,1,1
Silver nitrate,AgNO 3 · 007761-88-8,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
Skydrol 500 (B4),— · —,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,x
Skydrol 7000,— · —,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,x
"Soaps, liquid",— · —,1,1,1,2,2,x,1,1,x,x,x,x,x,x,1,1,1
Soapy solution,— · — · each,1,x,4,2,1,x,1,1,x,x,1,x,x,1,1,1,1
Sodium acetate,C H NaO · 000127-09-3 · each,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1
Sodium benzoate,C H NaO · 000532-32-1 · 36 %,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Sodium benzoate,C 7 H 5 NaO 2 · 000532-32-1 · aqueous,1,1,2,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium benzoate,C 7 H 5 NaO 2 · 000532-32-1,1,1,1,2,1,x,1,1,1,x,1,x,1,1,1,1,1
Sodium bicarbonate,NaHCO · 000144-55-8 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium bisulfate,NaHSO 4 · 007681-38-1 · 10 %,1,1,4,1,1,x,2,1,x,x,1,x,x,1,1,1,1
Sodium bisulfate,NaHSO 4 · 007681-38-1 · each,1,1,1,1,x,x,3,1,1,x,1,x,1,1,1,1,1
Sodium bisulfite,NaHSO · 007631-90-5 · aqueous,1,1,1,2,1,x,4,1,x,x,x,x,x,x,1,1,1
Sodium borate,Na B O x 10 H O · 001303-96-4 · saturated,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Sodium borate,Na 2 B 4 O 7 x 10 H 2 O · 001303-96-4 · aqueous,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium bromate,3 · 007789-38-0 · each,1,1,3,2,x,x,1,1,1,x,1,x,1,x,1,1,1
Sodium bromide,NaBr · 007647-15-6 · each,1,1,1,2,1,x,1,1,1,x,1,x,1,1,1,1,1
Sodium carbonate,Na 2 CO 3 · 000497-19-8 · saturated,1,1,1,1,x,1,1,1,1,1,1,1,1,1,1,1,1
Sodium carbonate,Na 2 CO 3 · 000497-19-8 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium chlorate,NaClO · 007775-09-9 · each,1,1,1,1,x,1,2,1,1,x,1,x,x,x,1,1,1
Sodium chlorate,NaClO 3 · 007775-09-9 · aqueous,x,x,3,1,1,x,2,1,x,x,x,x,x,x,1,1,1
Sodium chloride,NaCl · 007647-14-5 · each,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sodium chloride,NaCl · 007647-14-5 · aqueous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sodium chlorite,NaClO 2 · 007758-19-2 · diluted,1,1,1,2,x,x,2,1,x,x,3,4,x,x,1,1,1
Sodium chromate,NaCrO 4 · 007775-11-3 · diluted,1,1,1,2,x,x,2,1,1,x,1,x,1,x,1,1,1
Sodium cyanide,CNNa · 000143-33-9 · saturated,1,1,1,3,x,x,3,1,x,x,x,x,x,x,1,1,1
Sodium cyanide,CNNa · 000143-33-9 · aqueous,1,1,1,3,1,x,3,1,x,x,x,x,x,x,1,1,1
Sodium dichromate,Na 2 Cr 2 O 7 · 010588-01-9,x,1,1,1,3,1,3,1,1,x,1,x,x,1,1,1,1
Sodium dodecylbenzene sulfonate,C H NaSO · 025155-30-0,1,1,2,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Sodium ferrocyanide,C 6 FeNa 4 N 6 · 013601-19-9,1,1,1,2,1,x,2,1,x,x,x,x,x,1,1,1,1
Sodium fluoride,NaF · 007681-49-4 · saturated,1,1,1,2,1,1,1,1,1,x,1,1,1,x,1,1,1
Sodium hydrosulfite,Na S O · 007775-14-6 · 10 %,1,x,2,2,2,x,2,1,x,x,1,x,1,x,1,1,1
Sodium hydrosulfite,Na 2 S 2 O 4 · 007775-14-6,1,x,2,2,2,x,2,1,x,x,1,x,1,x,1,1,1
Sodium hydroxide,NaOH · 001310-73-2 · concentrated,1,1,1,4,4,x,3,1,x,x,x,x,x,x,x,1,2
Sodium hydroxide,NaOH · 001310-73-2 · 30 %,1,1,1,4,4,1,1,1,1,1,1,1,x,x,1,1,2
Sodium hydroxide,NaOH · 001310-73-2 · 45 %,1,1,1,4,4,1,1,1,1,1,1,1,1,x,x,1,2
Sodium hydroxide,NaOH · 001310-73-2 · 50 %,1,1,1,4,4,1,1,1,2,1,1,x,x,1,1,1,3
Sodium hydroxide,NaOH · 001310-73-2 · 60 %,1,1,1,4,4,1,3,1,1,1,x,x,x,x,x,1,2
Sodium hydroxide,NaOH · 001310-73-2 · 1 %,1,1,1,3,3,1,1,1,2,1,1,x,x,1,1,1,1
Sodium hypochlorite,NaClO · 007681-52-9 · diluted,2,2,4,3,3,1,4,2,1,1,1,1,1,x,1,1,1
Sodium hypochlorite,NaClO · 007681-52-9 · 15 %,2,2,4,2,3,1,4,2,1,1,1,x,1,1,1,1,3
Sodium hypochlorite,NaClO · 007681-52-9 · saturated,2,2,4,2,3,1,4,2,1,1,1,x,1,x,1,1,3
Sodium hypochlorite,"NaClO · 007681-52-9 · 12,5 % Cl",2,2,4,2,3,1,4,2,1,1,1,1,1,1,1,1,1
Sodium iodide,NaJ · 007681-82-5 · each,1,1,2,1,1,x,1,1,x,x,1,x,x,1,1,1,1
Sodium metabisulfite,2 2 5 · 007681-57-4 · each,1,1,1,2,2,x,4,1,x,x,1,x,x,x,1,1,1
Sodium nitrate,NaNO · 007631-99-4 · saturated,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sodium nitrate,NaNO 3 · 007631-99-4 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium nitrite,NaNO 2 · 007632-00-0 · saturated,1,1,1,2,1,1,1,1,1,x,1,1,1,x,1,1,1
Sodium nitrite,NaNO · 007632-00-0 · aqueous,1,1,1,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Sodium oxalate,C Na O · 000062-76-0 · saturated,1,1,1,1,1,x,1,1,x,x,1,x,x,1,1,1,1
Sodium perborate,NaBO 2 (HO) 2 x 3H 2 O013517-20-9 · saturated,1,1,4,2,x,x,2,1,1,x,1,3,1,x,1,1,1
Sodium perborate,NaBO 2 (HO) 2 x 3H 2 O013517-20-9 · aqueous,1,1,4,2,3,x,2,1,x,x,x,x,x,x,1,1,1
Sodium perchlorate,NaClO 4 · 007601-89-0 · saturated,1,1,2,1,1,x,1,1,x,x,1,x,x,x,1,1,1
Sodium peroxide,Na 2 O 2 · 001313-60-6 · 10 %,x,1,4,3,4,x,4,x,x,x,1,x,x,x,x,1,1
Sodium peroxide,Na 2 O 2 · 001313-60-6 · saturated,x,3,4,3,4,x,4,2,x,x,1,x,x,x,x,1,1
Sodium persulfate,Na 2 S 2 O 8 · 007775-27-1 · saturated,1,x,4,2,x,x,3,1,x,x,1,x,x,x,1,1,1
Sodium phosphate,Na 3 PO 4 x 12H 2 O · 010101-89-0 · saturated,1,1,1,2,1,x,1,1,1,x,1,1,1,1,1,1,1
Sodium phosphate,Na 3 PO 4 x 12H 2 O · 010101-89-0 · aqueous,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium polyphosphates,(NaPO 3 ) 6 · 068915-31-1 · saturated,1,1,2,2,1,x,1,1,x,x,x,x,x,x,1,1,1
Sodium silicate,Na 2 Si 3 O 7 · 001344-09-8 · each,1,1,1,1,1,x,2,1,1,x,1,1,1,x,1,1,1
Sodium silicate,Na 2 Si 3 O 7 · 001344-09-8 · saturated,1,1,1,1,1,x,x,1,1,x,1,1,1,x,1,1,1
Sodium stearate,C 18 H 35 NaO 2 · 000822-16-2 · aqueous,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium sulfate,Na 2 SO 4 · 007757-82-6 · saturated,1,1,1,1,1,x,1,1,1,1,1,1,1,1,1,1,1
Sodium sulfate,Na 2 SO 4 · 007757-82-6 · aqueous,1,1,1,1,1,x,1,1,x,1,1,1,x,1,1,1,1
Sodium sulfate,Na 2 SO 4 · 007757-82-6,1,1,1,1,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium sulfide,Na 2 S · 001313-82-2 · saturated,1,1,1,3,1,1,1,1,1,1,1,1,1,x,1,1,3
Sodium sulfide,Na 2 S · 001313-82-2 · aqueous,1,1,1,3,1,x,1,1,x,x,x,x,x,x,1,1,1
Sodium sulfite,Na 2 SO 3 · 007757-83-7 · saturated,1,1,1,2,2,1,1,1,1,x,1,1,1,x,1,1,1
Sodium thiosulfate,2 2 3 2 · 010102-17-7 · each,1,1,1,2,1,x,1,1,x,x,x,x,x,1,1,1,1
Sodium thiosulfate,2 2 3 2 · 010102-17-7 · saturated,1,1,1,1,1,x,1,1,1,x,1,1,1,x,1,1,1
Sodium thiosulfate,Na S O x 5H O · 010102-17-7 · aqueous,1,1,1,1,1,x,1,1,x,x,x,x,x,x,1,1,1
Soft soap,— · — · diluted,1,1,x,2,1,x,1,1,x,x,1,x,x,x,1,1,1
Soya oil,— · 008001-22-7,x,x,2,1,1,x,2,1,x,x,x,x,x,x,1,1,1
Spermaceti,— · 008002-23-1,x,1,1,1,1,x,x,1,x,x,x,x,x,x,1,1,1
Spinning bath acid,— · — · 100mg CS /l,1,x,4,3,x,x,4,1,x,x,1,x,x,x,1,1,1
Spirit (of wine),C 2 H 6 O · —,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1
Spirits,C H O · —,1,1,1,1,1,x,1,1,x,1,1,x,x,1,1,1,1
Spirits of Turpentine,— · 008006-64-2,2,3,1,4,1,3,1,4,4,4,2,4,3,1,1,1,1
Spirits of wine,C 2 H 6 O · — · 50 %,1,1,1,1,1,1,1,1,1,1,1,3,x,x,1,1,1
Spirits of wine,C 2 H 6 O · — · 96 %,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1
Spruce oil,— · 008008-80-8,1,2,2,2,x,2,2,1,4,3,3,x,3,1,1,1,2
Stannic chloride,SnCl · 007646-78-8 · aqueous,1,1,4,3,x,x,4,1,4,x,x,x,x,x,1,1,1
Stannous chloride,SnCl 2 · 007772-99-8 · aqueous,1,1,4,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Stannous chloride,SnCl · 007772-99-8 · saturated,1,1,4,1,x,x,2,1,1,x,1,1,1,x,1,1,1
Starch solution,(C H O ) · — · each,1,1,1,1,1,x,1,1,x,x,1,x,x,1,1,1,1
Starch syrup,— · —,1,1,1,1,1,x,1,1,x,x,1,x,x,1,1,1,1
"Stauffer grease, thick",— · —,x,x,2,2,1,x,1,2,1,x,x,x,1,x,1,1,1
Steam,H O · — · up to 150°C,4,4,4,x,x,x,3,3,x,x,x,x,x,x,x,1,x
Stearic acid,C 18 H 36 O 2 · 000057-11-4 · crystals,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Strontium bromide,SrBr 2 · 010476-81-0,1,1,2,1,1,x,1,1,x,x,x,x,1,x,1,1,1
Strychnine,C H N O · 000057-24-9,1,1,1,1,2,x,2,1,1,x,x,x,x,x,1,1,1
Styrene,C H · 000100-42-5 · 100 %,4,3,1,4,1,4,1,3,x,x,4,4,x,x,1,1,2
Succinic acid,C 4 H 6 O 4 · 000110-15-6 · 50 %,1,1,3,2,x,x,3,1,x,x,2,x,x,1,1,1,1
Succinic acid,4 6 4 · 000110-15-6 · saturated,1,1,3,2,x,x,3,1,1,x,1,1,x,1,1,1,1
Sugar acid,— · — · saturated,1,1,3,2,x,x,2,1,x,x,x,x,x,x,1,1,1
Sugar beet juice,— · —,1,1,1,1,x,1,1,1,1,x,1,1,x,1,1,1,1
Sugar syrup,— · —,1,1,1,1,1,1,1,1,1,1,1,x,x,1,1,1,1
Sulfur,S · 007704-34-9 · techn. pure,1,1,1,1,2,x,1,1,1,x,3,3,1,x,1,1,1
Sulfur (mono)chloride,S Cl · 010025-67-9,x,x,4,3,x,x,4,4,x,x,x,x,x,x,1,1,1
Sulfur dioxide,SO 2 · 007446-09-5 · damp,1,1,3,3,x,1,4,1,3,2,1,x,x,1,1,1,1
Sulfur dioxide,2 · 007446-09-5 · liquid,3,4,3,3,x,4,4,4,4,2,3,x,x,1,1,1,4
Sulfur hexafluoride,SF · 002551-62-4,x,x,1,2,1,x,1,2,x,x,x,x,1,x,x,1,2
Sulfur trioxide,SO 3 · 007446-11-9,4,4,4,4,4,x,4,4,x,x,4,x,x,x,2,2,3
"Sulfur, melted, 121 °C",S 8 · 007704-34-9,x,x,4,3,x,4,4,4,4,x,x,x,4,x,x,1,x
Sulfuric acid,H SO · 007664-93-9 · 40 %,1,1,4,2,4,1,4,1,2,3,1,1,1,1,1,1,1
Sulfuric acid,H SO · 007664-93-9 · 60 %,1,1,4,3,4,1,4,1,2,1,1,x,x,1,1,1,1
Sulfuric acid,H 2 SO 4 · 007664-93-9 · 80 %,1,1,4,3,4,1,4,1,3,3,1,1,x,1,1,1,1
Sulfuric acid,H SO · 007664-93-9 · 95 %,3,3,4,4,4,2,4,3,4,4,2,x,4,1,1,1,1
Sulfuric acid,H SO · 007664-93-9 · fuming,4,4,4,4,4,4,4,4,4,4,4,4,x,x,1,1,4
Sulfuric acid,H 2 SO 4 · 007664-93-9 · 1-6 %,1,1,4,1,x,1,4,1,1,1,1,x,1,1,1,1,1
Sulfuric acid,H 2 SO 4 · 007664-93-9 · 20 %,1,1,4,1,x,1,4,1,1,1,1,x,x,1,1,1,1
Sulfurous acid,H SO · 007782-99-2 · saturated,1,1,4,4,1,x,4,1,x,x,1,x,x,x,1,1,1
Sulfuryl chloride,Cl SO · 007791-25-5 · techn. pure,4,4,4,1,x,x,4,4,x,x,4,4,x,x,x,1,3
Tallow,— · — · techn. pure,1,1,1,1,1,x,1,1,x,x,1,1,x,x,1,1,1
Tannic acid,C 76 H 52 O 46 · 001401-55-4 · 10 %,1,1,1,3,x,1,4,1,3,x,1,x,x,x,1,1,1
Tannic acid,C 76 H 52 O 46 · 001401-55-4,1,1,1,4,x,x,4,1,1,x,x,x,1,x,1,1,1
Tanning extracts,— · —,1,1,1,3,x,x,4,1,x,x,x,x,x,x,1,1,1
"Tanning extracts, vegetable",— · — · techn. usually,1,1,1,3,x,x,4,1,x,x,1,x,x,x,1,1,1
Tar,— · —,x,1,1,3,1,x,1,2,1,1,1,3,x,x,1,1,2
Tartaric acid,C H O · 000087-69-4 · aqueous,1,1,3,1,x,x,3,1,x,1,x,x,x,x,1,1,1
Tartaric acid,C H O · 000087-69-4,1,1,4,1,x,1,3,1,2,1,1,1,1,1,1,1,1
Tetrabromoethane (TBE),C 2 H 2 Br 4 · — · 100 %,4,3,3,4,4,4,3,3,4,x,4,4,x,x,1,1,2
Tetrachloreethane,C 2 H 2 Cl 4 · — · techn. pure,3,3,3,4,4,4,1,3,4,x,4,4,4,x,1,1,1
Tetrachlorodifluoroethane,C Cl F · 000076-12-0,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Tetrachloroethylene,C 2 Cl 4 · 000127-18-4,4,4,4,4,3,4,1,4,4,4,4,4,3,1,1,1,1
Tetrahydrofuran (THF),C 4 H 8 O · 000109-99-9,3,4,1,4,1,3,1,3,4,4,4,4,4,2,1,1,3
Tetrahydrofurfuryl alcohol,C 5 H 10 O 2 · 000097-99-4,x,x,2,3,x,x,2,2,x,x,x,x,4,x,1,1,2
Tetrahydronaphthalene,C H · 000119-64-2 · techn. pure,3,4,1,4,1,4,1,4,4,4,4,4,x,x,1,1,1
Thioglycolic acid,C 2 H 4 SO 2 · 000068-11-1,x,1,3,3,x,x,3,1,x,x,x,x,x,x,1,1,3
Thionyl chloride,Cl SO · 007719-09-7 · techn. pure,4,4,4,4,x,4,2,4,4,4,4,4,4,1,1,1,3
Thiophene,C H S · 000110-02-1,3,3,2,4,x,4,2,3,4,x,x,x,4,x,1,1,3
Thymol,C 10 H 14 O · 000089-83-8,x,x,3,3,x,x,3,3,3,x,x,x,4,x,1,1,2
Toluene,— · 092045-38-0 · 100 %,1,1,1,3,x,x,1,1,x,x,x,x,x,x,1,1,2
Train oil,— · —,x,x,1,2,1,x,1,2,x,x,x,x,x,x,1,1,1
Transformer oil,— · —,1,3,1,3,1,1,3,1,1,1,1,x,1,x,1,1,3
Triacetin,C H O · 000102-76-1,x,x,x,3,x,x,2,2,x,x,x,x,x,x,1,1,2
Tribromomethane,CHBr 3 · 000075-25-2,4,4,4,4,4,4,4,4,4,4,4,x,x,2,1,1,2
Tributyl citrate (TBC),C 18 H 32 O 7 · 000077-94-1,1,2,2,4,x,2,2,2,4,3,3,x,x,1,1,1,2
Tributyl phosphate (TBP),C H PO · 000126-73-8 · techn. pure,1,1,1,3,x,x,2,1,x,x,4,4,x,x,1,1,1
Trichloroacetaldehyde,C HCl O · 000075-87-6 · 100 %,1,1,4,3,4,x,3,1,x,x,4,4,x,x,1,x,4
Trichloroacetic acid (TCA),C 2 HCl 3 O 2 · 000076-03-9,1,3,4,4,4,x,4,1,4,x,4,4,x,x,1,1,1
Trichlorobenzene,C H Cl · — · 100 %,4,4,3,3,x,4,2,4,4,x,4,4,4,x,1,2,3
Trichloroethane,C H Cl · —,3,4,3,4,4,4,2,4,4,4,4,4,4,1,1,1,1
Trichloroethylene (TRI),C 2 HCl 3 · 000079-01-6 · 100 %,3,4,3,4,4,4,4,4,4,4,4,4,x,1,1,1,1
Trichlorofluoromethane,CCl 3 F · 000075-69-4,x,x,1,3,x,x,1,3,x,x,x,x,x,x,3,1,x
Trichlorophenol,C H Cl O · —,x,x,3,4,x,x,3,3,x,x,x,x,4,x,1,1,3
Trichlorotrifluoroethane,C 2 Cl 3 F 3 · 000076-13-1,x,x,1,3,1,x,1,3,x,x,x,x,x,x,x,1,1
Trichlorotrifluoroethane,C 2 Cl 3 F 3 · — · 100 %,4,3,1,3,x,x,1,4,4,1,3,4,3,x,x,1,1
Tricresyl phosphate (TCF),C H PO · — · techn. pure,1,1,1,4,1,x,1,1,4,x,4,4,4,x,1,1,3
Triethanolamine (TEA),C H NO · 000102-71-6 · techn. pure,1,1,2,2,1,x,2,1,1,x,3,4,1,x,1,1,1
Triethylamine (TEA),C 6 H 15 N · 000121-44-8 · techn. pure,x,x,2,3,x,x,1,4,x,x,x,x,x,x,1,1,3
Triethylene glycol,6 14 4 · 000112-27-6,1,1,3,1,x,1,1,1,1,1,2,x,1,1,1,1,2
